StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q13_1,Q13_2,Q13_3,Q13_4,Q13_4_TEXT,Q14_1,Q14_2,Q14_3,Q14_4,Q14_4_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_4_TEXT,Q17_1,Q17_2,Q17_3,Q17_3_TEXT,Q18#1_1,Q18#2_1,Q29#1_1,Q29#2_1,Q30#1_1,Q30#2_1,Q31#1_1,Q31#2_1,Q32#1_1,Q32#2_1,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q36#1_1,Q36#2_1,Q37#1_1,Q37#2_1,Q38#1_1,Q38#2_1,Q39#1_1,Q39#2_1,Q40#1_1,Q40#2_1,Q41#1_1,Q41#2_1,Q42#1_1,Q42#2_1,Q43#1_1,Q43#2_1,Q44#1_1,Q44#2_1,Q45#1_1,Q45#2_1,Q46#1_1,Q46#2_1,Q47#1_1,Q47#2_1,Q48#1_1,Q48#2_1,Q34_0_GROUP,Q34_1_GROUP,Q34_2_GROUP,Q34_0_1_RANK,Q34_0_2_RANK,Q34_0_3_RANK,Q34_0_4_RANK,Q34_0_5_RANK,Q34_0_6_RANK,Q34_0_7_RANK,Q34_0_8_RANK,Q34_0_9_RANK,Q34_0_10_RANK,Q34_0_11_RANK,Q34_0_12_RANK,Q34_0_13_RANK,Q34_0_14_RANK,Q34_0_15_RANK,Q34_0_16_RANK,Q34_0_17_RANK,Q34_0_18_RANK,Q34_0_19_RANK,Q34_0_20_RANK,Q34_0_21_RANK,Q34_1_1_RANK,Q34_1_2_RANK,Q34_1_3_RANK,Q34_1_4_RANK,Q34_1_5_RANK,Q34_1_6_RANK,Q34_1_7_RANK,Q34_1_8_RANK,Q34_1_9_RANK,Q34_1_10_RANK,Q34_1_11_RANK,Q34_1_12_RANK,Q34_1_13_RANK,Q34_1_14_RANK,Q34_1_15_RANK,Q34_1_16_RANK,Q34_1_17_RANK,Q34_1_18_RANK,Q34_1_19_RANK,Q34_1_20_RANK,Q34_1_21_RANK,Q34_2_1_RANK,Q34_2_2_RANK,Q34_2_3_RANK,Q34_2_4_RANK,Q34_2_5_RANK,Q34_2_6_RANK,Q34_2_7_RANK,Q34_2_8_RANK,Q34_2_9_RANK,Q34_2_10_RANK,Q34_2_11_RANK,Q34_2_12_RANK,Q34_2_13_RANK,Q34_2_14_RANK,Q34_2_15_RANK,Q34_2_16_RANK,Q34_2_17_RANK,Q34_2_18_RANK,Q34_2_19_RANK,Q34_2_20_RANK,Q34_2_21_RANK,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q32,Q7,Q9,Q11,Q11_3_TEXT,Q19,Q31
11/1/19,11/1/19,IP Address,187.252.218.82,100,1027,TRUE,11/1/19,R_3gZubah6AULEBTW,,,,,31.81140137,-116.5988007,anonymous,EN,50,50,0,0,,20,80,0,0,,60,40,0,0,,95,5,0,,Very important,,Very important,,Very important,Not important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Very important,Very important,Not important,Not important,Very important,Very important,Not important,Not important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not important,"How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?","Under what conditions does the evolved plastic response predict the evolutionary response?,How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?","What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,How do eco-evolutionary feedbacks alter productivity and biogeochemical cycles in the ocean?,How and which dispersal traits are evolving in response to environmental change?",,,1,3,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,1,,,,,,,,3,,,,1,,,,,,2,,,,,1,5,4,2,3,,PhD,30-39,Male,,15,New Zealand
11/2/19,11/2/19,IP Address,82.73.165.170,100,663,TRUE,11/2/19,R_1dGEWI3ODCZxY1j,,,,,53.21670532,6.569900513,anonymous,EN,30,30,0,40,Eco Developmental Physiology,0,100,0,0,,0,100,0,0,,100,0,0,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not important,Not important,Very important,Very important,Not important,Not important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Very important,Very important,How and which dispersal traits are evolving in response to environmental change?,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,"How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,3,4,5,2,,PhD,60-69,Male,,60,Netherlands
11/2/19,11/2/19,IP Address,77.127.18.254,100,856,TRUE,11/2/19,R_3nDaSB1Iu44erpq,,,,,32.061203,34.85620117,anonymous,EN,90,5,0,5,Physiology,40,50,10,0,,20,80,,0,,80,20,0,,Somewhat important,Very important,Very important,Somewhat important,Not important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,5,3,4,1,,PhD,20-29,Other,Non- Binary,9,Israel
11/2/19,11/2/19,IP Address,147.92.99.233,100,672,TRUE,11/2/19,R_1GNgw4AsnZEYWam,,,,,42.73669434,-84.47579956,anonymous,EN,0,80,0,20,statistics,90,10,0,0,,10,90,0,0,,30,70,0,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,How do microbial symbiont(s) or microbiomes affect the adaptation or acclimation of their hosts to a changing environment?","What are the reasons for genetic divergence in the sea within and/or among species?,How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?","How and which dispersal traits are evolving in response to environmental change?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?",,2,,,,,,,,,1,,,,,,,,,,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,3,,,,,,,1,3,4,5,2,,PhD,30-39,Male,,10,United States of America
11/2/19,11/2/19,IP Address,68.13.222.185,100,1222,TRUE,11/2/19,R_sqaK9os1YgF3HA5,,,,,37.31970215,-76.76249695,anonymous,EN,40,20,20,20,Development,0,95,0,5,Human parasites,0,100,0,0,,85,15,0,,Somewhat important,Somewhat important,Very important,Very important,"Somewhat important,Not important","Somewhat important,Not important",Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Not important,Not important,Not important,Somewhat important,Very important,Somewhat important,Not important,Not important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important,"How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?","How and which dispersal traits are evolving in response to environmental change?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?","What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,At spatial scales below the dispersal distance, how do spatial patterns of selective gradients create patterns of local adaptation (microgeographic adaptation)?",,1,,2,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,3,4,5,2,"I think it is important to understand the degree to which phenotypic plasticity provides a potentially adaptive (and hidden) resevoir of variation on which selection may act under future environmental conditions. I recognize there were questions about epigenetics etc, but it strikes me that they were not considering the inherent potential for plasticity to introduce novel phenotypes to future selective regimes. ",PhD,40-49,Male,,15,United States of America
11/2/19,11/2/19,IP Address,97.95.108.9,100,597,TRUE,11/2/19,R_32Mavp9p2Kl57Ao,,,,,42.29100037,-85.63410187,anonymous,EN,50,50,0,0,,0,25,75,0,,0,100,0,0,,95,5,0,,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,"Somewhat important,Not important","Somewhat important,Not important",Somewhat important,Not important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Not important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,What are the reasons for genetic divergence in the sea within and/or among species?,How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?","How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?","Under what conditions does the evolved plastic response predict the evolutionary response?,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?",2,,,,,,,,,,1,,,,3,,,,,,,,,,1,,,,,,,,,3,,,2,,,,,,,,,,,,,2,3,,,,,,,,,,,1,,1,3,4,5,2,,PhD,30-39,Male,,15,United States of America
11/3/19,11/3/19,IP Address,168.123.242.19,100,637,TRUE,11/3/19,R_eJLvNOn1DspOqlz,,,,,13.44230652,144.7835083,anonymous,EN,30,10,60,0,,0,95,5,0,,10,80,10,0,,70,30,0,,"Very important,Somewhat important",Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,3,5,,PhD,30-39,Male,,12,United States of America
11/3/19,11/3/19,IP Address,134.245.222.120,100,745,TRUE,11/3/19,R_3MFocUEOGDJ4GeF,,,,,54.31570435,10.13020325,anonymous,EN,50,30,10,10,organismal biology,0,100,0,0,,5,90,5,0,,100,0,0,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Not important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,How do eco-evolutionary feedbacks alter productivity and biogeochemical cycles in the ocean?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?","Under what conditions does the evolved plastic response predict the evolutionary response?,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?,How do microbial symbiont(s) or microbiomes affect the adaptation or acclimation of their hosts to a changing environment?","How and which dispersal traits are evolving in response to environmental change?,How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?",,,,3,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,1,3,,2,,,,,1,,3,,,,,,,,,,,,,3,4,2,5,1,,Bachelors,20-29,Female,,10,Germany
11/3/19,11/3/19,IP Address,107.207.146.71,100,767,TRUE,11/3/19,R_1jizNIdky1ijfBp,,,,,35.31930542,-80.74559784,anonymous,EN,25,75,0,0,,0,100,0,0,,0,90,10,0,,95,5,0,,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,"How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?","How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,4,2,5,3,,PhD,40-49,Male,,15,United States of America
11/3/19,11/3/19,IP Address,130.156.90.119,100,905,TRUE,11/3/19,R_3EuSNMuuMbxbtGh,,,,,40.28779602,-74.0161972,anonymous,EN,0,80,0,20,Genetics,70,30,0,0,,0,100,0,0,,100,0,0,,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Not important,Somewhat important,Somewhat important,Somewhat important,Very important,Not important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Not important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,"How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?","How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?,What are the reasons for genetic divergence in the sea within and/or among species?","What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?,Under what conditions will evolutionary processes accelerate (e.g.  mutational meltdowns or Allee effects) or prevent (e.g. evolutionary rescue) extinctions?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?",,2,,1,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,3,,1,,,,,,,2,,,,2,3,4,5,1,"Can we use what we know about the natural history of species, their genetics, and their ecological/evolutionary context, to best predict which species and/or ecosystems are most vulnerable/resistant to aniticipated climate change?  In the case of vulnerable species/ecosystems, can we also use what we know to approach a management solution?",PhD,40-49,Female,,15,United States of America
11/3/19,11/3/19,IP Address,46.193.3.124,100,10553,TRUE,11/3/19,R_27HBU7N49aoYmCn,,,,,48.79130554,2.363204956,anonymous,EN,10,90,0,0,,0,100,0,0,,10,90,0,0,,60,40,0,,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,"How do eco-evolutionary feedbacks alter productivity and biogeochemical cycles in the ocean?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?","What are the reasons for genetic divergence in the sea within and/or among species?,When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?,Do species with large effective population size have unexpected outcomes for population genetic processes?","For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,At spatial scales below the dispersal distance, how do spatial patterns of selective gradients create patterns of local adaptation (microgeographic adaptation)?",,,,2,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,2,1,4,5,3,,PhD,20-29,Male,,3,France
11/3/19,11/3/19,IP Address,73.118.50.223,100,1337,TRUE,11/3/19,R_2zIl6deoxEPPfvo,,,,,30.48049927,-84.22429657,anonymous,EN,50,50,0,0,,0,100,0,0,,0,100,0,0,,80,20,0,,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Somewhat important,Not important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Not important,Not important,"What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?,When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?",What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,"How can we quantify additive genetic variance (e.g., heritability) effectively in systems where pair-mated cross designs or pedigrees are not feasible?,How do the genetics and geography of local adaptation interact with oceanographic processes to predict (or not) future evolvability?,Under what conditions will evolutionary processes accelerate (e.g.  mutational meltdowns or Allee effects) or prevent (e.g. evolutionary rescue) extinctions?",,,,,3,,,,,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,3,,,,1,3,4,5,2,,PhD,30-39,Male,,19,United States of America
11/3/19,11/3/19,IP Address,141.135.117.217,100,1277,TRUE,11/3/19,R_1FFfsoKukf4Lc0i,,,,,50.8795929,4.700897217,anonymous,EN,30,50,10,10,Parasitology,0,60,40,0,,0,90,10,0,,90,10,0,,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,"Very important,Somewhat important",Very important,Very important,Very important,"Very important,Somewhat important",Very important,Somewhat important,"Very important,Somewhat important",Somewhat important,"Very important,Somewhat important",Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,"Very important,Somewhat important",Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,"Somewhat important,Not important",Very important,"Somewhat important,Not important","Very important,Somewhat important",Somewhat important,Very important,How do eco-evolutionary feedbacks alter productivity and biogeochemical cycles in the ocean?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,How and which dispersal traits are evolving in response to environmental change?,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,4,3,5,2,"You proposed a separate evaluation on the importance of several issues for marine science and evolutionary biology, but I see both disciplines really as integrated . Ocean sciences requires a truely integrative approach, which requires close collaboration and familiarity wich each others scientific domain. ",PhD,60-69,Male,,40,Belgium
11/3/19,11/3/19,IP Address,107.77.224.182,100,873,TRUE,11/3/19,R_bJJOPyU5w0QJEuB,,,,,40.76519775,-73.95880127,anonymous,EN,5,45,0,50,Genomics cytogenomics,0,100,0,0,,0,100,0,0,,80,20,0,,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,"Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,Under what conditions does the evolved plastic response predict the evolutionary response?","How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,What is the role of hybridization/introgression in range expansion (or lack thereof) to new habitats?,What are the reasons for genetic divergence in the sea within and/or among species?","What is the relative importance of rapid evolution versus acclimation via plasticity to environmental change?,How and which dispersal traits are evolving in response to environmental change?,What is the relative contribution of temporal fluctuating selection to maintaining variation in populations for short vs. long generation times?",,,,2,,,,,,,,,,,,1,,,,3,,3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,3,,,,,,,,2,1,3,4,5,,PhD,20-29,Female,,5,United States of America
11/3/19,11/3/19,IP Address,130.216.126.189,100,6174,TRUE,11/3/19,R_vfsCuv79SgKB9XX,,,,,-36.8506012,174.7679138,anonymous,EN,70,20,10,0,,0,100,0,0,,0,100,0,0,,100,,0,,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,"How will environmental change interact with different reproduction strategies (e.g. broadcast spawning, brooding, sex determination) to alter reproductive success?,How can an understanding of adaptation to multiple stressors be used to predict responses to multivariate environmental change or novel environments?,Can epigenetic or plastic responses to environmental stress be inherited and alter evolutionary processes?","What are the reasons for genetic divergence in the sea within and/or among species?,When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?,How does variation in selection or plasticity across different life history stages constrain or promote adaptation?","Under what conditions will evolutionary processes accelerate (e.g.  mutational meltdowns or Allee effects) or prevent (e.g. evolutionary rescue) extinctions?,For restoration and assisted evolution efforts, can we use genomics to predict fitness of genotypes in particular environments (with limited knowledge of the underlying genetic architecture)?,What oceanographic and biological processes contribute to genetic load, and how does the geographic distribution of load affect adaptation?",,1,,2,,,,,,,,,,,,3,,,,,,1,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,3,,,,,,1,,,,2,1,4,3,5,,PhD,50-59,Female,,30,New Zealand
11/3/19,11/3/19,IP Address,23.28.6.142,100,348,TRUE,11/3/19,R_3pgqpzRwe9053X8,,,,,42.64300537,-85.29370117,anonymous,EN,60,40,0,0,,0,30,0,70,brackish inland systems,0,100,0,0,,100,0,0,,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Very important,Somewhat important,Somewhat important,Not important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Not important,Not important,Somewhat important,Not important,Not important,Not important,Very important,Somewhat important,Not important,Not important,Somewhat important,Not important,"When high genetic drift (e.g. sweepstakes reproductive success), strong selection, and high gene flow all occur at the same life stage (e.g. larval dispersal), what are the relative importance of each process to evolutionary outcomes?",How and which dispersal traits are evolving in response to environmental change?,"What will nearshore climates be like in the future? (i.e., if we lack good predictions of ocean climate, how can we experiment under future conditions if we don’t know what those are?",,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,3,1,4,2,,PhD,30-39,Female,,10,United States of America
11/3/19,11/3/19,IP Address,68.175.131.222,100,47692,TRUE,11/3/19,R_3Do1KaMrW5InWhv,,,,,42.44169617,-76.49849701,anonymous,EN,15,75,10,0,,5,90,5,0,,5,95,0,0,,95,5,0,,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PhD,50-59,Male,,29,United States of America
